StopNumber	epaper	installdate	model
12061	1	2015-04-08	model456
12071	1	2015-04-09	model456
12081	1	2015-04-10	model456
12091	1	2015-04-11	model456
12101	1	2015-04-12	model456
17111	1	2015-04-13	model456
18119	1	2015-04-14	model456
18149	1	2015-04-15	model456
19021	1	2015-04-16	model456
19031	1	2015-04-17	model456
19041	1	2015-04-18	model456
19089	1	2015-04-19	model456
19091	1	2015-04-20	model456
41049	1	2015-04-21	model456
41069	1	2015-04-22	model456
41079	1	2015-04-23	model456
41089	1	2015-04-24	model456
42019	1	2015-04-25	model456
42029	1	2015-04-26	model456
42039	1	2015-04-27	model456
42049	1	2015-04-28	model456
42059	1	2015-04-29	model456
42141	1	2014-03-01	model456
53121	1	2014-03-02	model456
53131	1	2014-03-03	model456
53141	1	2014-03-04	model456
53151	1	2014-03-05	model456
53161	1	2014-03-06	model456
54011	1	2014-03-07	model456
64031	1	2014-03-08	model456
64049	1	2014-03-09	model456
64059	1	2014-03-10	model456
64079	1	2014-03-11	model456
64341	1	2014-03-12	model456
64351	1	2014-03-13	model456
64361	1	2014-03-14	model456
05519	1	2014-03-15	model456
05629	1	2014-03-16	model456
06069	1	2014-03-17	model456
06129	1	2014-03-18	model456
09139	1	2014-07-12	model456
13119	1	2014-12-28	model456
13139	1	2014-11-09	model123
13159	0	\N	\N
13169	0	\N	\N
13179	0	\N	\N
13189	0	\N	\N
42089	0	\N	\N
42109	0	\N	\N
42119	0	\N	\N
43019	0	\N	\N
43029	0	\N	\N
43049	0	\N	\N
43059	0	\N	\N
43069	0	\N	\N
43089	0	\N	\N
43099	0	\N	\N
43129	0	\N	\N
43139	0	\N	\N
44201	0	\N	\N
44211	0	\N	\N
44251	0	\N	\N
44639	0	\N	\N
05521	0	\N	\N
05631	1	2015-10-01	model789
06071	1	2015-12-29	model789
06081	1	2014-05-12	model456
06131	1	2014-12-01	model789
13121	1	2014-12-02	model789
13141	1	2014-12-03	model789
13171	1	2014-12-04	model789
13181	1	2014-12-05	model789
42071	1	2014-12-06	model789
42091	1	2014-12-07	model789
42111	1	2014-12-08	model789
43011	1	2014-12-09	model789
43021	1	2014-12-10	model789
43041	1	2014-12-11	model789
43051	1	2014-12-12	model789
43061	1	2014-12-13	model789
43071	1	2014-12-14	model789
43081	1	2014-12-15	model789
43121	1	2014-12-16	model789
43131	1	2014-12-17	model789
44209	1	2014-12-18	model789
44219	1	2014-12-19	model789
44631	1	2014-12-20	model789
54189	1	2014-12-21	model789
54199	1	2014-12-22	model789
54209	1	2014-12-23	model789
55139	1	2014-12-24	model789
55149	1	2014-12-25	model789
55159	1	2014-12-26	model789
62019	1	2015-09-15	model789
62029	1	2015-09-16	model789
62039	1	2015-09-17	model789
62049	1	2015-09-18	model789
62059	1	2015-09-19	model789
63149	1	2015-09-20	model789
63179	1	2015-09-21	model789
63189	1	2015-09-22	model789
63199	1	2015-09-23	model789
63209	1	2015-02-12	model123
63219	1	2015-07-07	model789
63369	1	2015-12-02	model789
70259	1	2014-11-03	model456
70269	1	2014-08-18	model123
70279	1	2014-04-12	model456
70289	1	2015-03-01	model123
70299	1	2015-03-02	model123
70309	1	2015-03-03	model123
81101	1	2015-03-04	model123
81111	1	2015-03-05	model123
54181	1	2015-03-06	model123
54191	1	2015-03-07	model123
54201	1	2015-03-08	model123
55131	1	2015-03-09	model123
55141	1	2015-03-10	model123
55151	1	2015-03-11	model123
55189	1	2015-03-12	model123
62011	1	2015-03-13	model123
62021	1	2015-03-14	model123
62031	1	2015-03-15	model123
62041	1	2015-03-16	model123
62051	1	2015-03-17	model123
63141	1	2015-03-18	model123
63181	1	2015-03-19	model123
63191	1	2015-03-20	model123
63201	1	2015-03-21	model123
63211	1	2015-03-22	model123
63361	1	2015-03-23	model123
70251	1	2015-03-24	model123
70261	1	2015-03-25	model123
70271	1	2015-03-26	model123
70281	1	2015-03-27	model123
70291	1	2015-03-28	model123
70301	1	2014-05-01	model123
81109	1	2014-05-02	model123
81119	1	2014-05-03	model123
82229	1	2014-05-04	model123
59091	1	2014-05-05	model123
59099	1	2014-05-06	model123
59231	1	2014-05-07	model123
59239	1	2014-05-08	model123
59241	1	2014-05-09	model123
59249	1	2014-05-10	model123
59381	1	2014-05-11	model123
59389	1	2014-05-12	model123
59391	1	2014-05-13	model123
59399	1	2014-05-14	model123
59401	1	2014-05-15	model123
59409	1	2014-05-16	model123
59411	1	2014-05-17	model123
59419	1	2014-05-18	model123
59461	1	2014-05-19	model123
59471	1	2014-05-20	model123
59579	1	2014-05-21	model123
59581	1	2014-05-22	model123
59639	1	2014-05-23	model123
59689	1	2014-05-24	model123
59281	1	2014-05-25	model123
59289	1	2014-05-26	model123
59291	1	2015-02-24	model456
59299	1	2015-11-26	model456
59341	1	2014-08-22	model789
59349	1	2014-11-01	model456
59449	1	2014-11-02	model456
59589	1	2014-11-03	model456
59719	1	2014-11-04	model456
59731	1	2014-11-05	model456
59741	1	2014-11-06	model456
59751	1	2014-11-07	model456
14019	1	2014-11-08	model456
55019	1	2014-11-09	model456
55029	1	2014-11-10	model456
55259	1	2014-11-11	model456
55269	1	2014-11-12	model456
55279	1	2014-11-13	model456
56019	1	2014-11-14	model456
56029	1	2014-11-15	model456
56039	1	2014-11-16	model456
56199	1	2014-11-17	model456
56209	1	2014-11-18	model456
59669	1	2014-11-19	model456
59699	1	2014-11-20	model456
14011	1	2014-11-21	model456
55011	1	2014-11-22	model456
55021	1	2014-11-23	model456
55241	1	2014-11-24	model456
55251	1	2014-11-25	model456
55261	1	2015-04-08	model789
55271	1	2014-08-04	model123
56021	1	2014-05-29	model123
56031	0	\N	\N
56191	0	\N	\N
56201	0	\N	\N
59661	0	\N	\N
59691	0	\N	\N
85051	0	\N	\N
85059	0	\N	\N
85061	0	\N	\N
85069	0	\N	\N
85071	0	\N	\N
85079	0	\N	\N
85081	0	\N	\N
85089	0	\N	\N
95039	0	\N	\N
95041	0	\N	\N
95049	0	\N	\N
95051	0	\N	\N
95061	0	\N	\N
95069	0	\N	\N
95071	0	\N	\N
95079	0	\N	\N
95081	0	\N	\N
95089	1	2015-12-05	model789
95091	1	2015-10-04	model123
95099	1	2015-06-09	model789
95131	1	2015-12-26	model456
95139	1	2014-10-10	model456
95141	1	2014-11-06	model123
95149	1	2015-10-01	model789
96101	1	2015-10-02	model789
96109	1	2015-10-03	model789
96181	1	2015-10-04	model789
96189	1	2015-10-05	model789
96251	1	2015-10-06	model789
96259	1	2015-10-07	model789
96261	1	2015-10-08	model789
96269	1	2015-10-09	model789
98021	1	2015-10-10	model789
98029	1	2015-10-11	model789
98031	1	2015-10-12	model789
98039	1	2015-10-13	model789
98041	1	2015-10-14	model789
98049	1	2015-10-15	model789
98051	1	2015-10-16	model789
98059	1	2015-10-17	model789
98061	1	2015-10-18	model789
98069	1	2015-10-19	model789
98071	1	2015-10-20	model789
98079	1	2015-10-21	model789
98231	1	2015-10-22	model789
98239	1	2015-10-23	model789
99011	1	2015-10-24	model789
99019	1	2015-10-25	model789
99021	1	2014-02-01	model789
99029	1	2014-02-02	model789
99031	1	2014-02-03	model789
99039	1	2014-02-04	model789
99041	1	2014-02-05	model789
99049	1	2014-02-06	model789
99161	1	2014-02-07	model789
99171	1	2014-02-08	model789
99181	1	2014-02-09	model789
99189	1	2015-01-22	model789
16149	1	2015-11-02	model123
16159	1	2015-12-01	model456
16169	0	\N	\N
16179	0	\N	\N
16189	0	\N	\N
16199	0	\N	\N
17091	0	\N	\N
17099	0	\N	\N
