stopnumber	locationdesc	address
53261	Opp Bishan Stadium	Bishan St 14
53271	Opp Kuo Chuan Presby Sch	Bishan St 13
53279	Kuo Chuan Presby Sch	Bishan St 13
53281	Blk 169	Bishan St 13
53289	Zion Bible Presby Ch	Bishan St 13
53299	Blk 314	Shunfu Rd
53309	Opp Raffles Inst	Bishan St 21
53319	Bosch	Bishan St 21
53321	CityCab	Sin Ming Ave
53331	Bef Bright Hill Tp	Sin Ming Ave
53341	Blk 407	Sin Ming Ave
53351	Ai Tong Sch	Sin Ming Ave
53361	Blk 454	Sin Ming Ave
53371	Blk 257	Bishan St 22
53381	Bishan Nth Shop Mall	Bishan St 22
53391	Opp Blk 203	Bishan St 22
53409	Blk 131	Bishan St 12
53419	Blk 117	Bishan St 12
54011	Blk 207	Ang Mo Kio Ave 6
54019	Aft Blk 304	Ang Mo Kio Ave 6
54061	Blk 246	Ang Mo Kio Ave 1
54069	Opp Blk 246	Ang Mo Kio Ave 1
54181	Blk 258	Ang Mo Kio Ave 4
54189	Blk 110	Ang Mo Kio Ave 4
54191	Blk 170	Ang Mo Kio Ave 4
54199	Blk 163	Ang Mo Kio Ave 4
54201	Opp Blk 155	Ang Mo Kio Ave 4
54209	Bet Blks 152/155	Ang Mo Kio Ave 4
54211	Mayflower Sec Sch	Ang Mo Kio Ave 3
54219	Opp Mayflower Sec Sch	Ang Mo Kio Ave 3
54221	Opp Ang Mo Kio Pr Sch	Ang Mo Kio Ave 3
54229	Ang Mo Kio Pr Sch	Ang Mo Kio Ave 3
54231	Blk 129	Ang Mo Kio Ave 3
54239	Blk 209	Ang Mo Kio Ave 3
54241	Blk 700B	Ang Mo Kio Ave 3
54248	Blk 324	Ang Mo Kio Ave 3
54261	Ang Mo Kio Stn	Ang Mo Kio Ave 3
54269	Opp Ang Mo Kio Stn	Ang Mo Kio Ave 3
54271	Blk 586	Ang Mo Kio Ave 3
54279	Blk 427	Ang Mo Kio Ave 3
54281	Blk 570	Ang Mo Kio Ave 3
54289	Blk 452	Ang Mo Kio Ave 3
54291	Blk 564	Ang Mo Kio Ave 3
54299	Opp Blk 565	Ang Mo Kio Ave 3
54301	Blk 5022	Ang Mo Kio Ave 3
54309	Opp Blk 5022	Ang Mo Kio Ave 3
55011	Opp The Calrose	Yio Chu Kang Rd
55019	The Calrose	Yio Chu Kang Rd
55021	Opp Seasons Pk	Yio Chu Kang Rd
55029	Seasons Pk	Yio Chu Kang Rd
55131	Blk 612	Ang Mo Kio Ave 4
55139	Blk 641	Ang Mo Kio Ave 4
55141	Opp Blk 622	Ang Mo Kio Ave 4
55149	Blk 622	Ang Mo Kio Ave 4
55151	Ang Mo Kio Comm Hosp	Ang Mo Kio Ave 9
55159	Opp Ang Mo Kio Comm Hosp	Ang Mo Kio Ave 9
55189	Yio Chu Kang Stn	Ang Mo Kio Ave 6
55241	Aft Yio Chu Kang Rd	Lentor Ave
55251	Countryside Est	Lentor Ave
55259	Opp Countryside Est	Lentor Ave
55261	Bullion Pk Condo	Lentor Ave
55269	Opp Bullion Pk Condo	Lentor Ave
55271	Aft Lentor Flyover	Lentor Ave
55279	Lentor Flyover	Lentor Ave
55281	Aft SLE	Lentor Ave
55289	LP 94	Lentor Ave
55509	Yio Chu Kang Int	Ang Mo Kio Ave 8
56019	Bef Ang Mo Kio Ave 1	Upp Thomson Rd
56021	Opp S'wang Hill FC	Upp Thomson Rd
56029	JCU S'pore	Upp Thomson Rd
56031	Bef Yio Chu Kang Rd	Upp Thomson Rd
56039	Aft Yio Chu Kang Rd	Upp Thomson Rd
56191	Opp NPB Serangoon Depot	Yio Chu Kang Rd
56199	NPB Serangoon Depot	Yio Chu Kang Rd
56201	Aft Munshi Abdullah Ave	Yio Chu Kang Rd
56209	Bef Thomson Hills Dr	Yio Chu Kang Rd
56261	Blk 248	Ang Mo Kio Ave 1
56269	Opp Blk 248	Ang Mo Kio Ave 1
59009	Yishun Temp Int	Yishun Ave 2
59011	Bef Sg Seletar Bridge	Lentor Ave
59019	Aft Sg Seletar Bridge	Lentor Ave
59021	Bef Yishun Ave 1	Lentor Ave
59029	Aft Yishun Ave 1	Lentor Ave
59031	Opp Yishun Sports Hall	Yishun Ave 2
59039	Yishun Sports Hall	Yishun Ave 2
59041	Bef Khatib Stn	Yishun Ave 2
59049	Opp Khatib Stn	Yishun Ave 2
59051	Blk 790	Yishun Ave 2
59059	Blk 608	Yishun Ave 2
59061	Blk 763	Yishun Ave 2
59069	Opp Blk 757	Yishun Ave 2
59073	Aft NorthPoint Shop Ctr	Yishun Ave 2
59091	Blk 154	Yishun Ave 2
59099	Blk 220	Yishun Ave 2
59231	Blk 227	Yishun Ring Rd
59239	Blk 291	Yishun Ring Rd
59241	Blk 236	Yishun Ring Rd
59249	Blk 257	Yishun Ring Rd
59281	Blk 654	Yishun Ave 4
59289	Blk 676 CP	Yishun Ave 4
59291	Blk 666	Yishun Ave 4
59299	Blk 671 CP	Yishun Ave 4
59341	Khoo Teck Puat Hosp	Yishun Ctrl
59349	Opp Khoo Teck Puat Hosp	Yishun Ctrl
59381	Blk 314	Yishun Ring Rd
59389	Opp Blk 314	Yishun Ring Rd
59391	Blk 342B	Yishun Ring Rd
59399	Opp Blk 367	Yishun Ring Rd
59401	Blk 358	Yishun Ring Rd
59409	Evangel Family Ch	Yishun Ring Rd
59411	Blk 356	Yishun Ring Rd
59419	Blk 413	Yishun Ring Rd
59449	Opp Naval Base Pr Sch	Yishun Ave 4
59461	Opp Blk 419	Yishun Ave 11
59471	Blk 430B	Yishun Ave 1
59579	Blk 456	Yishun Ring Rd
59581	Blk 432C	Yishun St 41
59589	Blk 505C	Yishun St 41
59639	Bet Blks 445/449	Yishun Ring Rd
59661	Opp Yishun Polyclinic	Yishun Ctrl 1
59669	Yishun Polyclinic	Yishun Ctrl 1
59671	Bef Yishun Stn	Yishun Ave 2
59689	Blk 203	Yishun Ctrl
59691	Bef Blk 935	Yishun Ctrl 1
59699	Opp Blk 935	Yishun Ctrl 1
59719	Opp Blk 672C	Yishun Ring Rd
59731	Blk 512A	Yishun Ave 1
59741	Opp Orchid Country Club	Yishun Ave 1
59751	Opp The Shaughnessy	Yishun Ave 1
60011	S'pore Post	Kallang Bahru
60019	Opp S'pore Post	Kallang Bahru
60021	Chubb S'pore	Kallang Bahru
60029	Blk 16	Kallang Bahru
60031	Blk 66	Kallang Bahru
60039	Opp Blk 66	Kallang Bahru
60051	Opp Kallang Pl	Boon Keng Rd
60059	Bef Kallang Pl	Boon Keng Rd
60099	Bef Lavender St	Bendemeer Rd
60159	Blk 54	Bendemeer Rd
60161	St. Michael's Pl	S'goon Rd
60179	MOM Svcs Ctr	Bendemeer Rd
60199	Blk 22	Boon Keng Rd
60201	Leong Bee Ct	Upp S'goon Rd
60209	Opp Leong Bee Ct	Upp S'goon Rd
60221	Blk 73	Geylang Bahru
60229	Blk 68	Geylang Bahru
60261	Potong Pasir Stn	Upp S'goon Rd
60269	Potong Pasir Stn	Upp S'goon Rd
61011	Blk 103	Upp S'goon Rd
61019	Opp Blk 101	Upp S'goon Rd
61021	Aft Woodleigh Pk	Upp S'goon Rd
61029	Opp Woodleigh Pk	Upp S'goon Rd
61031	Woodleigh Stn	Upp S'goon Rd
61039	Woodleigh Stn	Upp S'goon Rd
61041	Bef Braddell Rd	Upp S'goon Rd
61049	Aft Bartley Rd	Upp S'goon Rd
62011	Aft Bartley Rd	Upp Paya Lebar Rd
62019	Aft Rochdale Rd	Upp Paya Lebar Rd
62021	Wisma AUPE	Upp Paya Lebar Rd
62029	Paya Lebar Gdns	Upp Paya Lebar Rd
62031	How Sun Pk	Upp Paya Lebar Rd
62039	Raya Gdn	Upp Paya Lebar Rd
62041	Opp Bethany Presby Ch	Upp Paya Lebar Rd
62049	Aft Paya Lebar Cres	Upp Paya Lebar Rd
62051	Paya Lebar Camp	Upp Paya Lebar Rd
62059	Blk 161	Upp Paya Lebar Rd
62111	Aft Sommerville Rd	Upp S'goon Rd
62119	Aft Sunshine Lodge	Upp S'goon Rd
62121	Aft Wolskel Rd	Upp S'goon Rd
62129	Blk 403	Upp S'goon Rd
62131	S'goon Stn	Upp S'goon Rd
62139	OPP S'GOON STN	Upp S'goon Rd
62141	Opp Blk 1	Upp S'goon Rd
62149	Paya Lebar Camp	Upp S'goon Rd
63011	Nam Peng Ctr	Upp S'goon Rd
63019	Aft Serangoon Shop Ctr	Upp S'goon Rd
63021	The Helping Hand	Upp S'goon Rd
63029	Opp The Helping Hand	Upp S'goon Rd
63031	Kovan Stn	Upp S'goon Rd
63039	Kovan Stn	Upp S'goon Rd
63041	Opp Glad Tidings Ch	Upp S'goon Rd
63049	Glad Tidings Ch	Upp S'goon Rd
63051	Serangoon JC	Upp S'goon Rd
63059	Opp Serangoon JC	Upp S'goon Rd
63061	Bef Nativity Ch Ctr	Upp S'goon Rd
63069	Nativity Ch Ctr	Upp S'goon Rd
63141	Blk 209	Boundary Rd
63149	Serangoon Stadium	Boundary Rd
63179	Bef Tai Seng Chr Ch	Yio Chu Kang Rd
63181	Bef St. Helier's Ave	Yio Chu Kang Rd
63189	Aft Serangoon Gdn Way	Yio Chu Kang Rd
63191	Aft Serangoon Nth Ave 1	Yio Chu Kang Rd
63199	Aft Serangoon Nth Ave 1	Yio Chu Kang Rd
63201	Blk 133	Yio Chu Kang Rd
63209	Toho Green	Yio Chu Kang Rd
63211	Blk 138	Yio Chu Kang Rd
63219	Opp Blk 139	Yio Chu Kang Rd
63311	Blk 634	Hougang Ave 2
63319	Opp Blk 634	Hougang Ave 2
63341	Opp Blk 709	Hougang Ave 2
63349	Blk 708	Hougang Ave 2
63351	Opp Hougang Swim Cplx	Hougang Ave 10
63359	Hougang Swim Cplx	Hougang Ave 10
63361	Opp Serangoon Swim Cplx	Yio Chu Kang Link
63369	Serangoon Sports Cplx	Yio Chu Kang Link
63371	Blk 679	Hougang Ave 8
63379	Blk 608	Hougang Ave 8
63381	Xinmin Pr Sch	Hougang Ave 8
63389	Opp Xinmin Pr Sch	Hougang Ave 8
63391	Blk 639	Hougang Ave 8
63399	Blk 632	Hougang Ave 8
64009	Hougang Ctrl Int	Hougang Ctrl
64011	Naung Ct	Upp S'goon Rd
64019	Blk 302	Upp S'goon Rd
64031	Blk 436	Hougang Ave 8
64039	Blk 434	Hougang Ave 8
64041	Hougang Plaza	Upp S'goon Rd
64049	Opp Hougang Plaza	Upp S'goon Rd
64051	Blk 465A	Upp S'goon Rd
64059	Blk 355	Upp S'goon Rd
64071	Opp Punggol Pk	Hougang Ave 8
64079	Punggol Pk	Hougang Ave 8
64331	Blk 508	Hougang Ave 4
64339	Blk 602	Hougang Ave 4
64341	Blk 681	Hougang Ave 8
64349	Blk 502	Hougang Ave 8
64351	Opp Montfort Sch	Hougang Ave 8
64359	Montfort Sch	Hougang Ave 8
64361	Blk 535	Hougang Ave 8
64369	Blk 532	Hougang Ave 8
64391	Blk 831	Hougang Ave 10
64399	Blk 512	Hougang Ave 10
64521	Blk 834	Hougang Ave 4
64529	Hougang Polyclinic	Hougang Ave 4
64551	Blk 836	Hougang Ctrl
64559	Blk 830A	Hougang Ctrl
65191	Bef Punggol Rd	TPE
65199	Aft Punggol Rd	TPE
66061	Aft Braddell Flyover	Braddell Rd
66069	Bef Braddell Flyover	Braddell Rd
66071	Opp PUB Recreation Club	Braddell Rd
66079	PUB Recreation Club	Braddell Rd
66081	Opp S'pore Power Trg Inst	Braddell Rd
66089	S'pore Power Trg Inst	Braddell Rd
66101	Blk 516	Ang Mo Kio Ave 3
66109	Blk 151	Ang Mo Kio Ave 3
66331	Blk 554	Ang Mo Kio Ave 3
66339	Blk 101	Ang Mo Kio Ave 3
66341	Daikin S'pore	Ang Mo Kio Ave 3
66349	Opp Daikin S'pore	Ang Mo Kio Ave 3
68111	Bef Seletar Camp G	Jln Kayu
68119	Aft Seletar Camp G	Jln Kayu
70011	Opp Blk 125	Aljunied Rd
70019	Blk 125	Aljunied Rd
70151	Aft Jln Anggerek	Merpati Rd
70161	Blk 14	Merpati Rd
70171	Blk 77	Circuit Rd
70181	Blk 36	Circuit Rd
70191	MacPherson Sec Sch	Circuit Rd
70201	ITE MacPherson Campus 1	Circuit Rd
70211	Blk 90	Pipit Rd
70221	Blk 79 FC	Circuit Rd
70231	Aft Merpati Rd	Mattar Rd
70241	MacPherson Pr Sch	Mattar Rd
70251	MacPherson Stn	Paya Lebar Rd
70259	Opp MacPherson Stn	Paya Lebar Rd
70261	Opp Orion @ Paya Lebar	Paya Lebar Rd
70269	Citipoint Ind Cplx	Paya Lebar Rd
70271	Le Crescendo	Paya Lebar Rd
70279	Opp Trinity @ Paya Lebar	Paya Lebar Rd
70281	Aft Tai Seng Stn	Upp Paya Lebar Rd
70289	Opp Tai Seng Stn	Upp Paya Lebar Rd
70291	Asiawide Ind Bldg	Upp Paya Lebar Rd
70299	Opp Asiawide Ind Bldg	Upp Paya Lebar Rd
70301	Aft Paya Lebar St	Upp Paya Lebar Rd
70309	Opp Paya Lebar St	Upp Paya Lebar Rd
70391	Opp MacPherson Sec Sch	Lor Bengkok
71091	Blk 637	Eunos Link
71099	Blk 311	Eunos Link
71101	Blk 318	Ubi Ave 1
71109	Maha Bodhi Sch	Ubi Ave 1
71111	Blk 343	Ubi Ave 1
71119	Opp Blk 343	Ubi Ave 1
71131	Automobile Megamart	Ubi Ave 2
71139	Blk 302	Ubi Ave 2
71161	Blk 3019	Ubi Ave 2
71169	Aztech Bldg	Ubi Ave 2
71201	Paya Ubi Ind Pk	Ubi Ave 1
71209	Opp Paya Ubi Ind Pk	Ubi Ave 1
71211	Ubi 55	Ubi Ave 1
71219	Ubi Techpark	Ubi Ave 1
71221	Meiban Ind Bldg	Ubi Rd 1
71229	Opp Meiban Ind Bldg	Ubi Rd 1
72011	Blk 322	Jln Eunos
72019	Eunos Mans	Jln Eunos
72021	Blk 646	Bedok Reservoir Rd
72029	Opp Blk 646	Bedok Reservoir Rd
72061	Blk 122	Bedok Reservoir Rd
72069	Blk 121	Bedok Reservoir Rd
72071	Blk 133	Bedok Reservoir Rd
72079	Blk 609	Bedok Reservoir Rd
75009	Tampines Int	Tampines Ctrl 1
75051	Opp SAFRA Tampines	Tampines Ave 1
75059	SAFRA Tampines	Tampines Ave 1
75061	Opp Bedok Reform Trg Ctr	Bedok Reservoir Rd
75069	Bedok Reform Trg Ctr	Bedok Reservoir Rd
75341	Opp The Clearwater Condo	Bedok Reservoir Rd
75349	The Clearwater Condo	Bedok Reservoir Rd
76051	Tampines Stadium	Tampines Ave 5
76059	Opp Tampines Stadium	Tampines Ave 5
76061	Blk 938	Tampines Ave 5
76069	Blk 147	Tampines Ave 5
76071	Blk 141	Tampines Ave 2
76079	Blk 101	Tampines Ave 2
76081	Opp The Holy Trinity Ch	Tampines Ave 2
76089	The Holy Trinity Ch	Tampines Ave 2
76091	Blk 206	Tampines Ave 2
76099	Blk 285	Tampines Ave 2
76101	Tampines East CC	Tampines Ave 2
76109	Blk 302	Tampines Ave 2
76131	UOB Tampines Ctr	Tampines Ave 4
76139	Opp Century Sq	Tampines Ave 4
76141	Tampines Stn/Int	Tampines Ave 4
76149	Opp Tampines Stn/Int	Tampines Ave 4
76191	Opp Tampines Reg Lib	Tampines Ave 7
76199	Bef Tampines Reg Lib	Tampines Ave 7
76201	Blk 423	Tampines Ave 7
76209	Blk 233	Tampines Ave 7
76211	Blk 449	Tampines Ave 7
76219	Blk 230E	Tampines Ave 7
76221	Opp Blk 230	Tampines Ave 7
76229	Blk 229	Tampines Ave 7
76231	Tampines JC	Tampines Ave 7
76239	Opp Tampines JC	Tampines Ave 7
76241	Blk 497D	Tampines Ave 7
76249	Blk 370	Tampines Ave 7
77009	Pasir Ris Int	Pasir Ris Dr 3
77011	Opp Blk 515	Pasir Ris Dr 1
77019	Blk 515	Pasir Ris Dr 1
77021	Opp Blk 571	Pasir Ris Dr 1
77029	Blk 571	Pasir Ris Dr 1
77031	Aft Pasir Ris Ctrl	Pasir Ris Dr 1
77039	Bef Pasir Ris Ctrl	Pasir Ris Dr 1
77041	Blk 541	Pasir Ris Dr 1
77049	Pasir Ris Town Pk	Pasir Ris Dr 1
77051	Blk 115	Pasir Ris Dr 1
77059	Blk 425	Pasir Ris Dr 1
77231	Meridian JC	Pasir Ris Dr 1
77239	Blk 643	Pasir Ris Dr 1
77241	Opp Blk 640	Pasir Ris Dr 1
77249	Blk 640	Pasir Ris Dr 1
77281	Blk 740	Pasir Ris Dr 1
77289	Blk 738	Pasir Ris Dr 1
77331	Blk 747A	Pasir Ris Dr 12
77339	Aft TPE	Pasir Ris Dr 12
78049	Blk 612	Pasir Ris Dr 1
78051	Blk 197	Pasir Ris Dr 1
78061	Blk 104	Pasir Ris Dr 1
78069	Blk 442	Pasir Ris Dr 1
78071	Blk 446	Pasir Ris Dr 6
78079	Blk 429	Pasir Ris Dr 6
78081	Blk 467	Pasir Ris Dr 6
78089	Blk 405	Pasir Ris Dr 6
78091	Opp Downtown East	Pasir Ris Cl
78099	Aft Loyang Gdns	Jln Loyang Besar
78101	Opp Downtown East	Pasir Ris Dr 3
78109	Downtown East	Pasir Ris Dr 3
78251	Lighthouse	Jln Loyang Besar
78259	Opp Lighthouse	Jln Loyang Besar
78261	Unit 169	Jln Loyang Besar
78269	Opp Coastal View	Jln Loyang Besar
78271	Casa Pasir Ris	Jln Loyang Besar
78279	Opp Loyang Townhouse	Jln Loyang Besar
80011	Opp Sri Manmatha K Tp	Kallang Rd
80029	Aft Kallang Rd ERP Gantry	Kallang Rd
80031	Kallang Stn	Sims Ave
80039	Opp Lor 1 Geylang Ter	Geylang Rd
80049	Aft Sims Way	Geylang Rd
80051	Aft Lor 1 Geylang	Sims Ave
80069	Opp Mohd Salleh Mque	Geylang Rd
80071	Yi Xiu Fty Bldg	Sims Ave
80089	Bef Lor 18 Geylang	Geylang Rd
80091	Bef Lor 23 Geylang	Sims Ave
80101	Opp Blk 2C	Lor 1 Geylang
80109	Bet Blks 2B/2C	Lor 1 Geylang
80111	Bef Geylang Rd	Sims Way
80119	Aft Geylang Rd	Sims Way
80251	Assn Bldg	Guillemard Rd
80259	Aft Chen Li Presby Ch	Guillemard Rd
81011	Aljunied Stn	Sims Ave
81029	Aft Lor 28 Geylang	Geylang Rd
81031	Blk 134	Sims Ave
81049	Aft Lor 34 Geylang	Geylang Rd
81051	Sims Ville	Sims Ave
81069	Opp Lor 39 Geylang	Geylang Rd
81081	Opp Aljunied Stn	Aljunied Rd
81089	Aljunied Stn	Aljunied Rd
81091	Blk 60	Aljunied Rd
81099	Blk 102	Aljunied Rd
81101	CISCO Ctr	Paya Lebar Rd
81109	Opp CISCO Ctr	Paya Lebar Rd
81111	Paya Lebar Stn	Paya Lebar Rd
81119	Opp Paya Lebar Stn	Paya Lebar Rd
81129	Bef Geylang Fire Stn	Paya Lebar Rd
81131	Opp Grandlink Sq	Guillemard Rd
81139	Grandlink Sq	Guillemard Rd
81141	Versailles Condo	Guillemard Rd
81149	The Sunny Spring Condo	Guillemard Rd
81151	Kong Hwa Sch	Guillemard Rd
81159	Opp Kong Hwa Sch	Guillemard Rd
81161	blk 56	Guillemard Rd
81169	Opp Blk 56	Guillemard Rd
82009	Eunos Int	Eunos Rd 2
82011	Aft Tg Katong Cplx	Sims Ave
82029	Blk 14 Mkt/FC	Geylang Rd
82032	Blk 416	Sims Ave
82033	Blk 414	Sims Ave
82049	Joo Chiat Cplx	Changi Rd
82061	Eunos Stn	Sims Ave
82069	Aft GE Life Ctr	Changi Rd
82071	Opp Tg Katong Girls' Sch	Tg Katong Rd
82079	Tg Katong Girls' Sch	Tg Katong Rd
82081	Aft Dunman Rd	Tg Katong Rd
82089	Shell Kiosk	Tg Katong Rd
82091	Aft Queen Of Peace Ch	Tg Katong Rd
82099	CDAC Bldg	Tg Katong Rd
82109	City Plaza	Geylang Rd
82119	Tg Katong Cplx	Tg Katong Rd
82221	Blk 3A	Jln Turi
82229	Kg Ubi CC	Jln Ubi
82231	Opp City Plaza	Guillemard Rd
83011	Casa Sarina	Sims Ave East
83029	Bef Jamiyah Home	Changi Rd
83031	Opp Hong San Si Tp	Sims Ave East
83049	Bef Lor 110 Changi	Changi Rd
83059	Mjd Kassim	Changi Rd
83062	Kembangan Stn	Sims Ave East
83079	Bef Siglap Plain	Changi Rd
83081	Opp Perpetual Succour Ch	Sims Ave East
83099	Aft Perpetual Succour Ch	Changi Rd
83101	Eunos Stn	Jln Eunos
83109	Opp Eunos Stn	Jln Eunos
83111	Blk 17	Jln Eunos
83119	Opp Blk 16	Jln Eunos
84009	Bedok Int	Bedok Nth Dr
84011	Chai Chee Ind Pk	New Upp Changi Rd
84019	Opp Chai Chee Ind Pk	New Upp Changi Rd
84021	Blk 32	New Upp Changi Rd
84029	Opp Blk 32	New Upp Changi Rd
84031	Bedok Stn	New Upp Changi Rd
84039	Bedok Stn	New Upp Changi Rd
84041	Blk 221A	New Upp Changi Rd
84049	Blk 27	New Upp Changi Rd
84051	Bedok Sports Cplx	New Upp Changi Rd
84059	Blk 65	New Upp Changi Rd
84061	The Tanamera Condo	New Upp Changi Rd
84069	Blk 55	New Upp Changi Rd
84071	Blk 71	Bedok Sth Rd
84079	Blk 45	Bedok Sth Rd
84081	Opp Blk 40	Bedok Sth Rd
84089	Blk 40	Bedok Sth Rd
84101	Opp Blk 49	Bedok Sth Ave 3
84109	Blk 50	Bedok Sth Ave 3
84111	Temasek JC	Bedok Sth Rd
84119	Opp Temasek JC	Bedok Sth Rd
84121	Aft Bedok Sth Ave 1	Bedok Sth Rd
84129	Fujitec S'pore Ltd	Bedok Sth Rd
84131	Opp Panasonic	Bedok Sth Rd
84139	Panasonic	Bedok Sth Rd
84141	Opp Lion Home For Elders	Bedok Sth Rd
84149	Lion Home For Elders	Bedok Sth Rd
84151	Casafina	Bedok Sth Ave 1
84159	Hitachi Consumer Products	Bedok Sth Ave 1
84301	Opp Kg Chai Chee CC	Bedok Nth Ave 1
84309	Kg Chai Chee CC	Bedok Nth Ave 1
84361	Blk 547	Bedok Nth Rd
84369	Blk 45	Bedok Nth Rd
84451	Opp Blks 705/706	Bedok Nth Rd
84459	Bet Blks 705/706	Bedok Nth Rd
84461	Opp Blk 701	Bedok Reservoir Rd
84469	Blk 703	Bedok Reservoir Rd
84471	Blk 745	Bedok Reservoir Rd
84479	Blk 713	Bedok Reservoir Rd
84481	Opp Kaki Bt Ctr	Bedok Reservoir Rd
84489	Aft Kaki Bt Ctr	Bedok Reservoir Rd
84491	Blk 629	Bedok Reservoir Rd
84499	Blk 140	Bedok Reservoir Rd
84501	Christ Ch	Bedok Reservoir Rd
84511	Blk 608	Bedok Reservoir Rd
84601	Opp Waterfront Key	Bedok Reservoir Rd
84609	Waterfront Key	Bedok Reservoir Rd
84611	Opp Waterfront Isle	Bedok Reservoir Rd
84619	Waterfront Isle	Bedok Reservoir Rd
84621	Opp Blk 716	Bedok Reservoir Rd
84629	Blk 716	Bedok Reservoir Rd
84631	Opp Waterfront Waves	Bedok Reservoir Rd
84639	Aft Waterfront Waves	Bedok Reservoir Rd
85051	Aft Jln Chempaka Kuning	Bedok Rd
85059	Bef Jln Chempaka Kuning	Bedok Rd
85061	Opp Bedok Mkt Pl	Bedok Rd
85069	Bedok Mkt Pl	Bedok Rd
85071	Bef Changi Fire Stn	Upp Changi Rd
85079	Flextronic	Upp Changi Rd
85081	Bef Jln Pari Burong	Upp Changi Rd
85089	Bef Jln Chempaka Kuning	Upp Changi Rd
85091	Tanah Merah Stn	New Upp Changi Rd
85099	Tanah Merah Stn	New Upp Changi Rd
85101	Aft Bedok Rd	Upp Changi Rd East
85109	Bef Bedok Rd	Upp Changi Rd East
92041	Opp Parkway Parade	Marine Parade Rd
92049	Parkway Parade	Marine Parade Rd
92051	Opp Blk 72	Marine Parade Rd
92059	Bet Blks 72/74	Marine Parade Rd
92061	CHIJ Katong Convent (Pr)	Marine Parade Rd
92069	Tao Nan Sch	Marine Parade Rd
92071	Opp Blk 57	Marine Parade Rd
92079	Blk 57	Marine Parade Rd
92081	St. Patrick's Sec Sch	Marine Parade Rd
92089	CHIJ Katong Convent	Marine Parade Rd
92161	Aft Katong PO	Tg Katong Rd
92169	Bef Katong PO	Tg Katong Rd
92241	Amber Gdn	Amber Rd
92249	Opp Amber Gdn	Amber Rd
93011	Opp Neptune Ct	Marine Parade Rd
93019	Neptune Ct	Marine Parade Rd
93021	Opp Mandarin Gdns	Marine Parade Rd
93029	Mandarin Gdns	Marine Parade Rd
93031	Opp Laguna Pk	Marine Parade Rd
93039	Laguna Pk	Marine Parade Rd
93041	Hua Xin Ct	Marine Parade Rd
93049	Lagoon View	Marine Parade Rd
93131	Opp Eastern Lagoon II	Bedok Sth Ave 1
93139	Eastern Lagoon II	Bedok Sth Ave 1
93201	Victoria Sch	Marine Parade Rd
95039	Airfreight Ter Bldg	Airport Cargo Rd
95041	CIAS Cargo Ters	Airport Cargo Rd
95049	SATS Cargo Ter	Airport Cargo Rd
95051	3rd Cargo Agents	Airline Rd
95061	SIA Hangar	Airline Rd
95069	Opp SIA Hangar	Airline Rd
95071	Changi Beach CP 4	Nicoll Dr
95079	Opp Changi Beach CP 4	Nicoll Dr
95081	Changi Beach CP 5	Nicoll Dr
95089	Opp Changi Beach CP 5	Nicoll Dr
95091	SAF Ferry Ter	Nicoll Dr
95099	Opp SAF Ferry Ter	Nicoll Dr
95131	Police Pass Off	Airline Rd
95139	Police Pass Off	Airline Rd
95141	Aft Cargo Bldg D	Airline Rd
95149	Bef Cargo Bldg D	Airline Rd
95161	Bef Changi Ferry Rd	Changi Coast Rd
95169	Aft Changi Ferry Rd	Changi Coast Rd
95171	Prologis	Alps Ave
95179	DHL	Alps Ave
95181	Menlo Worldwide	Alps Ave
95189	Expeditors	Alps Ave
95191	Opp DB Schenker	Alps Ave
96011	Bef Simei Ave	Upp Changi Rd East
96019	Aft Simei Ave	Upp Changi Rd East
96021	Opp Expo Halls 1/2/3	Upp Changi Rd East
96029	Expo Halls 1/2/3	Upp Changi Rd East
96031	Opp Expo Halls 4/5/6	Upp Changi Rd East
96039	Expo Halls 4/5/6	Upp Changi Rd East
96101	Blk 3012	Simei Ave
96109	Opp Blk 3012	Simei Ave
96121	Metta Welfare Assn	Simei Rd
96129	Melville Pk	Simei Rd
96131	Blk 130	Simei St 1
96139	Blk 148	Simei St 1
96141	Blk 120	Simei St 1
96149	Simei Stn	Simei St 1
96151	Blk 106	Simei St 1
96159	Blk 254	Simei St 1
96161	Opp Simei Stn	Simei St 3
96169	Simei Stn	Simei St 3
96171	Bet Blks 227/228	Simei St 4
96179	Modena Condo/Opp Blk 228	Simei St 4
96181	Blk 151	Simei Rd
96189	Blk 166	Simei Rd
96201	Simei Green Condo	Simei Rd
96209	Opp Simei Green Condo	Simei Rd
96219	Tanah Merah Ferry Ter	Tanah Merah Ferry Rd
96221	Opp S'pore Expo	Xilin Ave
96229	S'pore Expo	Xilin Ave
96231	DB Schenker	Xilin Ave
96239	CEVA Freight	Xilin Ave
96241	Laguna Natl C. Club	Xilin Ave
96249	Builders Ctr	Xilin Ave
96251	Bef Changi General Hosp	Simei St 3
96259	Aft Changi General Hosp	Simei St 3
96261	Blk 233	Simei St 3
96269	Blk 146	Simei St 3
96271	Opp Global Logistics Ctr	Xilin Ave
96291	Blk 223	Simei St 4
96299	Simei Green Condo	Simei St 4
98011	Blk 149A	Loyang Ave
98019	Opp Blk 149A	Loyang Ave
98021	Blk 275	Loyang Ave
98029	Opp Blk 275	Loyang Ave
98031	Aft Pasir Ris Dr 3	Loyang Ave
98039	Bef New Loyang Link	Loyang Ave
98041	Opp Loyang Valley	Loyang Ave
